class_index,abnormality,probability,plane,series_instance_uid,window_index,instance_numbers,cam_shape,cam_min,cam_max,cam_mean,cam_nonzero_fraction
0,ACL,0.25464966893196106,Coronal,1.2.826.0.1.3680043.8.498.40734206102458723096154687147390476697,0,"[1, 2, 3, 4, 5]","[224, 224]",0.0,1.0,0.09540332853794098,0.32142857142857145
1,MCL,0.7720101475715637,Sagittal,1.2.826.0.1.3680043.8.498.12343110195036213483454091715412333772,7,"[8, 9, 10, 11, 12]","[224, 224]",0.0,1.0,0.32938817143440247,0.8010204081632653
2,Medial Meniscus,0.8420864343643188,Sagittal,1.2.826.0.1.3680043.8.498.12343110195036213483454091715412333772,6,"[7, 8, 9, 10, 11]","[224, 224]",0.0,1.0,0.33580654859542847,0.9846938775510204
3,Lateral Meniscus,0.9979598522186279,Axial,1.2.826.0.1.3680043.8.498.13821229744997220641575291927426543265,3,"[4, 5, 6, 7, 8]","[224, 224]",0.0,1.0,0.2542891800403595,0.9996811224489796
4,Medial OA,0.998195230960846,Axial,1.2.826.0.1.3680043.8.498.13821229744997220641575291927426543265,4,"[5, 6, 7, 8, 9]","[224, 224]",0.0,1.0,0.22228850424289703,0.9285714285714286
5,Lateral OA,0.9984326958656311,Axial,1.2.826.0.1.3680043.8.498.13821229744997220641575291927426543265,3,"[4, 5, 6, 7, 8]","[224, 224]",0.0,1.0,0.2595127820968628,0.9948979591836735
6,PF OA,0.998815655708313,Axial,1.2.826.0.1.3680043.8.498.13821229744997220641575291927426543265,4,"[5, 6, 7, 8, 9]","[224, 224]",0.0,1.0,0.25045347213745117,0.9030612244897959
7,Effusion,0.7456693649291992,Sagittal,1.2.826.0.1.3680043.8.498.12343110195036213483454091715412333772,11,"[12, 13, 14, 15, 16]","[224, 224]",0.0,1.0,0.30459821224212646,0.9387755102040817
8,Synovitis,0.963236391544342,Axial,1.2.826.0.1.3680043.8.498.13821229744997220641575291927426543265,4,"[5, 6, 7, 8, 9]","[224, 224]",0.0,1.0,0.2487567663192749,0.8928571428571429
9,Baker's,0.9499605894088745,Sagittal,1.2.826.0.1.3680043.8.498.12343110195036213483454091715412333772,16,"[17, 18, 19, 20, 21]","[224, 224]",0.0,1.0,0.22549980878829956,0.9081632653061225
10,Contusion,0.2505582869052887,Coronal,1.2.826.0.1.3680043.8.498.40734206102458723096154687147390476697,11,"[12, 13, 14, 15, 16]","[224, 224]",0.0,1.0,0.03365941345691681,0.07653061224489796
11,Fracture,0.7609866261482239,Axial,1.2.826.0.1.3680043.8.498.13821229744997220641575291927426543265,11,"[12, 13, 14, 15, 16]","[224, 224]",0.0,1.0,0.2562639117240906,0.9897959183673469
